0849B33C,22,18,2,1,,,,
00000000,1849B194,0849D5A4,0849E310,0849D040,0849D1E4,0849E310,00000000,084AD21C
0849B3CC,8849B33C,80000000,2849D040,0849B3CC,0849B450,0849D508,00000000,084A0B48
0849B4C8,00000000,0849B450,0849C488,0849D634,00000000,0849D7F4,00000000,00000000
0849C404,00000000,0849D400,00000000,00000000,00000000,00000000,00000000,00000000
084A4D08,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,084A8548,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
