084A3C38,44,29,1,1,,,,
00000000,084A689C,084A4778,084A6AB8,084A4700,084A6BCC,084ACEF0,00000000,00000000
184A2E08,884A3C38,284A3120,084A4700,084A4D98,00000000,00000000,00000000,00000000
084A45B0,084A4FCC,084A47FC,084A6A34,084A4880,084A6998,00000000,00000000,00000000
084A689C,084A4700,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,00000000,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
