084A72F0,36,11,4,1,,,,
00000000,184A7260,084A7518,084A7374,084A78D0,084A7B48,084AA248,00000000,00000000
084A7494,884A72F0,884A7644,884A7518,884A7788,084A7954,00000000,00000000,00000000
084A76EC,084A7B48,084A7848,084A7404,284A7374,084A7CC4,00000000,00000000,00000000
084A6288,084A7494,00000000,00000000,084A7AD0,00000000,00000000,00000000,00000000
084A991C,00000000,084AB390,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
084AA3CC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,084AA2E4,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
