084AB804,55,16,1,4,,,,
00000000,084AC878,00000000,084A0218,00000000,084ACD40,084ACEF0,00000000,00000000
184AB774,884AB804,384AB94C,084ACA04,084AFD8C,084ACC98,00000000,00000000,00000000
00000000,80000000,00000000,084AD790,084ACB10,00000000,00000000,084ACE60,00000000
084ACC14,80000000,284AB8A4,00000000,00000000,00000000,00000000,00000000,00000000
00000000,80000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
